Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Admin,Chrome 77.0.3865.90,,,2019-10-09 18:18:36,2019-10-09 18:19:25,"48,643s",INCOMPLETE
,,,,,,,
Test Cases/StartPage,Chrome 77.0.3865.90,,,2019-10-09 18:18:36,2019-10-09 18:18:56,"19,544s",PASSED
"openBrowser(""http://hcc-asset-server.program-ace.net/"")",Chrome 77.0.3865.90,,,2019-10-09 18:18:37,2019-10-09 18:18:52,"15,714s",PASSED
"setViewPortSize(1920, 1080)",Chrome 77.0.3865.90,,,2019-10-09 18:18:52,2019-10-09 18:18:54,"1,187s",PASSED
"verifyElementPresent(findTestObject(""StartPage/Page_Laravel/h1_RealDigitalSolutions""), 0)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,119s",PASSED
"verifyElementPresent(findTestObject(""StartPage/Page_Laravel/img""), 0)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,079s",PASSED
"verifyElementPresent(findTestObject(""StartPage/Page_Laravel/svg_Login_logo-word""), 0)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,064s",PASSED
"verifyElementPresent(findTestObject(""StartPage/Page_Laravel/ul_Auszeichnung Landespreis""), 0)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,070s",PASSED
"verifyElementPresent(findTestObject(""StartPage/Page_Laravel/a_Login""), 0)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,068s",PASSED
"setViewPortSize(1024, 750)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,129s",PASSED
"verifyElementPresent(findTestObject(""StartPage/Page_Laravel/h1_RealDigitalSolutions""), 0)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,051s",PASSED
"verifyElementPresent(findTestObject(""StartPage/Page_Laravel/img""), 0)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,056s",PASSED
"verifyElementPresent(findTestObject(""StartPage/Page_Laravel/svg_Login_logo-word""), 0)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,050s",PASSED
"verifyElementPresent(findTestObject(""StartPage/Page_Laravel/ul_Auszeichnung Landespreis""), 0)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,050s",PASSED
"verifyElementPresent(findTestObject(""StartPage/Page_Laravel/a_Login""), 0)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,050s",PASSED
"setViewPortSize(1920, 1080)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:54,"0,124s",PASSED
"click(findTestObject(""StartPage/Page_Laravel/a_Login""), STOP_ON_FAILURE)",Chrome 77.0.3865.90,,,2019-10-09 18:18:54,2019-10-09 18:18:55,"0,823s",PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2019-10-09 18:18:55,2019-10-09 18:18:56,"0,697s",PASSED
,,,,,,,
Test Cases/LoginAdmin,Chrome 77.0.3865.90,,,2019-10-09 18:18:56,2019-10-09 18:19:02,"5,827s",PASSED
openBrowser(URL),Chrome 77.0.3865.90,,,2019-10-09 18:18:56,2019-10-09 18:18:59,"2,659s",PASSED
"setViewPortSize(1920, 1080)",Chrome 77.0.3865.90,,,2019-10-09 18:18:59,2019-10-09 18:19:00,"1,151s",PASSED
"click(findTestObject(""StartPage/Page_Laravel/a_Login""))",Chrome 77.0.3865.90,,,2019-10-09 18:19:00,2019-10-09 18:19:01,"0,666s",PASSED
"setText(findTestObject(""Object Repository/LoginPage/Page_Laravel/input_Welcome Back_login""), Username)",Chrome 77.0.3865.90,,,2019-10-09 18:19:01,2019-10-09 18:19:01,"0,136s",PASSED
"setText(findTestObject(""Object Repository/LoginPage/Page_Laravel/input_Welcome Back_password""), Password)",Chrome 77.0.3865.90,,,2019-10-09 18:19:01,2019-10-09 18:19:01,"0,127s",PASSED
"check(findTestObject(""LoginPage/Page_Laravel/label_Remember Me""))",Chrome 77.0.3865.90,,,2019-10-09 18:19:01,2019-10-09 18:19:01,"0,142s",PASSED
"uncheck(findTestObject(""LoginPage/Page_Laravel/label_Remember Me""))",Chrome 77.0.3865.90,,,2019-10-09 18:19:01,2019-10-09 18:19:01,"0,068s",PASSED
"verifyElementNotChecked(findTestObject(""LoginPage/Page_Laravel/label_Remember Me""), 1)",Chrome 77.0.3865.90,,,2019-10-09 18:19:01,2019-10-09 18:19:01,"0,063s",PASSED
"click(findTestObject(""Object Repository/LoginPage/Page_Laravel/button_Login""))",Chrome 77.0.3865.90,,,2019-10-09 18:19:01,2019-10-09 18:19:02,"0,680s",PASSED
,,,,,,,
Test Cases/LoginAdmin,Chrome 77.0.3865.90,,,2019-10-09 18:19:02,2019-10-09 18:19:10,"7,792s",PASSED
openBrowser(URL),Chrome 77.0.3865.90,,,2019-10-09 18:19:02,2019-10-09 18:19:05,"3,286s",PASSED
"setViewPortSize(1920, 1080)",Chrome 77.0.3865.90,,,2019-10-09 18:19:05,2019-10-09 18:19:06,"1,140s",PASSED
"click(findTestObject(""StartPage/Page_Laravel/a_Login""))",Chrome 77.0.3865.90,,,2019-10-09 18:19:06,2019-10-09 18:19:07,"0,693s",PASSED
"setText(findTestObject(""Object Repository/LoginPage/Page_Laravel/input_Welcome Back_login""), Username)",Chrome 77.0.3865.90,,,2019-10-09 18:19:07,2019-10-09 18:19:07,"0,153s",PASSED
"setText(findTestObject(""Object Repository/LoginPage/Page_Laravel/input_Welcome Back_password""), Password)",Chrome 77.0.3865.90,,,2019-10-09 18:19:07,2019-10-09 18:19:07,"0,118s",PASSED
"check(findTestObject(""LoginPage/Page_Laravel/label_Remember Me""))",Chrome 77.0.3865.90,,,2019-10-09 18:19:07,2019-10-09 18:19:07,"0,118s",PASSED
"uncheck(findTestObject(""LoginPage/Page_Laravel/label_Remember Me""))",Chrome 77.0.3865.90,,,2019-10-09 18:19:07,2019-10-09 18:19:08,"0,054s",PASSED
"verifyElementNotChecked(findTestObject(""LoginPage/Page_Laravel/label_Remember Me""), 1)",Chrome 77.0.3865.90,,,2019-10-09 18:19:08,2019-10-09 18:19:08,"0,053s",PASSED
"click(findTestObject(""Object Repository/LoginPage/Page_Laravel/button_Login""))",Chrome 77.0.3865.90,,,2019-10-09 18:19:08,2019-10-09 18:19:10,"2,163s",PASSED
,,,,,,,
Test Cases/Delete user,Chrome 77.0.3865.90,,,2019-10-09 18:19:10,2019-10-09 18:19:25,"15,157s",FAILED
"callTestCase(findTestCase(""LoginAdmin""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.90,,,2019-10-09 18:19:10,2019-10-09 18:19:17,"7,089s",PASSED
"click(findTestObject(""Object Repository/Create User/Page_Laravel/a_Users""), CONTINUE_ON_FAILURE)",Chrome 77.0.3865.90,,,2019-10-09 18:19:17,2019-10-09 18:19:17,"0,372s",PASSED
"while (verifyElementPresent(findTestObject(""Object Repository/Create User/Page_Laravel/delete_User_button""), 1) == true)",Chrome 77.0.3865.90,,,2019-10-09 18:19:17,2019-10-09 18:19:25,"7,466s",PASSED
